Index,Event,Station,Time,M_L,D,R
1,1,TMO55,2023.01.11-13:55:29,0.7,5,7.3035
2,1,TMO22,2023.01.11-13:55:29,0.7,5,5.1721
3,1,TMO20,2023.01.11-13:55:29,0.7,5,8.2915
4,1,INS8,2023.01.11-13:55:29,0.7,5,10.3534
5,1,INS1,2023.01.11-13:55:29,0.7,5,9.3079
6,2,TMO66,2023.01.10-19:02:01,0.7,7.9,10.3922
7,2,INSH,2023.01.10-19:02:01,0.7,7.9,2.342
8,2,INS6B,2023.01.10-19:02:01,0.7,7.9,7.8568
9,2,INS3,2023.01.10-19:02:01,0.7,7.9,6.4882
10,2,INS1,2023.01.10-19:02:01,0.7,7.9,6.4037
11,3,TMO66,2023.01.10-10:45:58,2,8.9,10.13
12,3,TMO55,2023.01.10-10:45:58,2,8.9,8.3737
13,3,TMO20,2023.01.10-10:45:58,2,8.9,7.5393
14,3,INS8,2023.01.10-10:45:58,2,8.9,11.9023
15,3,INS3,2023.01.10-10:45:58,2,8.9,8.3417
16,3,INS1,2023.01.10-10:45:58,2,8.9,7.6114
17,4,TMO55,2022.12.22-06:05:04,1.7,5,9.5429
18,4,TMO20,2022.12.22-06:05:04,1.7,5,8.3645
19,4,INS8,2022.12.22-06:05:04,1.7,5,13.058
20,4,INS3,2022.12.22-06:05:04,1.7,5,7.7209
21,4,INS1,2022.12.22-06:05:04,1.7,5,7.9147
22,5,TMO66,2022.12.17-07:24:35,1.9,5,10.5496
23,5,TMO55,2022.12.17-07:24:35,1.9,5,8.7127
24,5,TMO22,2022.12.17-07:24:35,1.9,5,7.46
25,5,TMO20,2022.12.17-07:24:35,1.9,5,7.9618
26,5,INS8,2022.12.17-07:24:35,1.9,5,12.1816
27,5,INS6B,2022.12.17-07:24:35,1.9,5,8.2586
28,5,INS1,2022.12.17-07:24:35,1.9,5,7.9483
29,6,TMO66,2022.11.28-17:38:35,0.5,7,9.1177
30,6,TMO55,2022.11.28-17:38:35,0.5,7,7.0516
31,6,TMO20,2022.11.28-17:38:35,0.5,7,6.8976
32,6,INS8,2022.11.28-17:38:35,0.5,7,10.5504
33,6,INS6B,2022.11.28-17:38:35,0.5,7,9.9205
34,6,INS1,2022.11.28-17:38:35,0.5,7,7.6845
35,7,TMO66,2022.11.19-03:59:04,0.8,6.1,11.3142
36,7,TMO55,2022.11.19-03:59:04,0.8,6.1,9.019
37,7,TMO22,2022.11.19-03:59:04,0.8,6.1,6.9887
38,7,TMO20,2022.11.19-03:59:04,0.8,6.1,8.9588
39,7,INS6B,2022.11.19-03:59:04,0.8,6.1,8.1523
40,7,INS3,2022.11.19-03:59:04,0.8,6.1,9.3287
41,7,INS1,2022.11.19-03:59:04,0.8,6.1,9.1283
42,8,INS8,2022.09.22-02:36:06,0.5,3.8,11.0712
43,8,INS6B,2022.09.22-02:36:06,0.5,3.8,9.482
44,8,INS4B,2022.09.22-02:36:06,0.5,3.8,3.9831
45,8,INS3,2022.09.22-02:36:06,0.5,3.8,8.7477
46,9,TMO66,2022.09.20-20:45:41,0.7,6,9.3803
47,9,TMO22,2022.09.20-20:45:41,0.7,6,7.0485
48,9,INSH,2022.09.20-20:45:41,0.7,6,2.3283
49,9,INS8,2022.09.20-20:45:41,0.7,6,11.2834
50,9,INS1,2022.09.20-20:45:41,0.7,6,7.2037
51,10,TMO66,2022.07.21-23:47:40,0.6,5,9.968
52,10,TMO55,2022.07.21-23:47:40,0.6,5,8.5975
53,10,TMO22,2022.07.21-23:47:40,0.6,5,8.0199
54,10,TMO20,2022.07.21-23:47:40,0.6,5,7.1499
55,10,INSH,2022.07.21-23:47:40,0.6,5,1.9118
56,10,INS8,2022.07.21-23:47:40,0.6,5,12.2635
57,10,INS6B,2022.07.21-23:47:40,0.6,5,8.4628
58,10,INS3,2022.07.21-23:47:40,0.6,5,7.6001
59,11,TMO66,2022.04.27-22:54:46,0.5,4,10.7869
60,11,TMO55,2022.04.27-22:54:46,0.5,4,8.8992
61,11,TMO22,2022.04.27-22:54:46,0.5,4,7.507
62,11,INS3,2022.04.27-22:54:46,0.5,4,8.4444
63,12,TMO55,2022.04.25-00:58:55,0.5,3.7,9.8801
64,12,TMO22,2022.04.25-00:58:55,0.5,3.7,8.4453
65,12,INS8,2022.04.25-00:58:55,0.5,3.7,13.3415
66,12,INS4B,2022.04.25-00:58:55,0.5,3.7,6.3821
67,12,INS3,2022.04.25-00:58:55,0.5,3.7,7.8207
68,13,TMO66,2022.03.16-14:53:57,1,3,10.5911
69,13,TMO55,2022.03.16-14:53:57,1,3,9.1464
70,13,TMO22,2022.03.16-14:53:57,1,3,8.2752
71,13,TMO20,2022.03.16-14:53:57,1,3,7.7494
72,13,INS3,2022.03.16-14:53:57,1,3,7.5043
73,13,INS1,2022.03.16-14:53:57,1,3,7.3319
74,14,TMO66,2022.03.16-01:11:52,0.3,3.8,10.1202
75,14,TMO22,2022.03.16-01:11:52,0.3,3.8,7.9359
76,14,TMO20,2022.03.16-01:11:52,0.3,3.8,7.3414
77,14,INS8,2022.03.16-01:11:52,0.3,3.8,12.2859
78,14,INS3,2022.03.16-01:11:52,0.3,3.8,7.7253
79,14,INS1,2022.03.16-01:11:52,0.3,3.8,7.1325
80,15,TMO55,2022.03.07-03:05:03,0.7,3.1,8.5826
81,15,TMO20,2022.03.07-03:05:03,0.7,3.1,7.6313
82,15,INS8,2022.03.07-03:05:03,0.7,3.1,12.1222
83,15,INS6B,2022.03.07-03:05:03,0.7,3.1,8.3905
84,15,INS3,2022.03.07-03:05:03,0.7,3.1,8.1637
85,15,INS1,2022.03.07-03:05:03,0.7,3.1,7.5864
86,16,TMO66,2022.03.01-22:39:16,0.4,4,11.1576
87,16,TMO55,2022.03.01-22:39:16,0.4,4,9.5429
88,16,INSH,2022.03.01-22:39:16,0.4,4,0.78624
89,16,INS8,2022.03.01-22:39:16,0.4,4,13.058
90,16,INS6B,2022.03.01-22:39:16,0.4,4,7.4295
91,16,INS3,2022.03.01-22:39:16,0.4,4,7.7209
92,17,TMO55,2022.02.28-19:32:17,0.6,3.8,9.425
93,17,INS8,2022.02.28-19:32:17,0.6,3.8,13.1375
94,17,INS6B,2022.02.28-19:32:17,0.6,3.8,7.7557
95,18,TMO66,2022.02.01-00:48:12,1.2,5.2,10.5911
96,18,TMO55,2022.02.01-00:48:12,1.2,5.2,9.1464
97,18,TMO22,2022.02.01-00:48:12,1.2,5.2,8.2752
98,18,TMO20,2022.02.01-00:48:12,1.2,5.2,7.7494
99,18,INS1,2022.02.01-00:48:12,1.2,5.2,7.3319
100,19,TMO66,2022.01.31-04:06:10,1.2,5.2,10.5112
101,19,TMO55,2022.01.31-04:06:10,1.2,5.2,9.0402
102,19,TMO22,2022.01.31-04:06:10,1.2,5.2,8.1704
103,19,INSH,2022.01.31-04:06:10,1.2,5.2,1.3999
104,19,INS3,2022.01.31-04:06:10,1.2,5.2,7.5909
105,19,INS1,2022.01.31-04:06:10,1.2,5.2,7.3339
106,20,TMO55,2022.01.25-15:27:49,1.1,5,10.9669
107,20,TMO22,2022.01.25-15:27:49,1.1,5,10.078
108,20,TMO20,2022.01.25-15:27:49,1.1,5,8.8564
109,20,INS8,2022.01.25-15:27:49,1.1,5,14.6308
110,20,INS6B,2022.01.25-15:27:49,1.1,5,6.2221
111,20,INS1,2022.01.25-15:27:49,1.1,5,7.5521
112,21,TMO55,2022.01.11-22:36:30,0.4,4,10.4212
113,21,TMO22,2022.01.11-22:36:30,0.4,4,7.8093
114,21,INSH,2022.01.11-22:36:30,0.4,4,1.6257
115,21,INS6B,2022.01.11-22:36:30,0.4,4,7.103
116,21,INS4B,2022.01.11-22:36:30,0.4,4,7.3956
117,21,INS3,2022.01.11-22:36:30,0.4,4,9.6649
118,22,TMO66,2022.01.08-07:28:29,0.6,4,9.5887
119,22,TMO55,2022.01.08-07:28:29,0.6,4,8.3848
120,22,TMO22,2022.01.08-07:28:29,0.6,4,8.1031
121,22,TMO20,2022.01.08-07:28:29,0.6,4,6.7155
122,22,INS8,2022.01.08-07:28:29,0.6,4,12.1192
123,22,INS4B,2022.01.08-07:28:29,0.6,4,4.6444
124,22,INS3,2022.01.08-07:28:29,0.6,4,7.4575
125,22,INS1,2022.01.08-07:28:29,0.6,4,6.4899
126,23,TMO55,2021.12.30-18:31:50,0.8,3.7,8.5158
127,23,TMO22,2021.12.30-18:31:50,0.8,3.7,6.896
128,23,TMO20,2021.12.30-18:31:50,0.8,3.7,8.2677
129,23,INS4B,2021.12.30-18:31:50,0.8,3.7,5.2569
130,24,TMO55,2021.12.23-13:54:18,0.8,4,9.3938
131,24,TMO22,2021.12.23-13:54:18,0.8,4,7.1673
132,24,TMO20,2021.12.23-13:54:18,0.8,4,9.3766
133,24,INS6B,2021.12.23-13:54:18,0.8,4,7.8662
134,24,INS3,2021.12.23-13:54:18,0.8,4,9.4302
135,24,INS1,2021.12.23-13:54:18,0.8,4,9.4699
136,25,TMO55,2021.12.22-01:21:05,0.3,4,8.523
137,25,INS6B,2021.12.22-01:21:05,0.3,4,9.5429
138,26,TMO55,2021.12.15-23:02:26,0.3,4,7.844
139,26,TMO22,2021.12.15-23:02:26,0.3,4,5.6846
140,26,TMO20,2021.12.15-23:02:26,0.3,4,8.5284
141,26,INS8,2021.12.15-23:02:26,0.3,4,10.9274
142,26,INS6B,2021.12.15-23:02:26,0.3,4,9.4753
143,26,INS1,2021.12.15-23:02:26,0.3,4,9.2934
144,27,TMO55,2021.12.15-18:17:05,0.3,4,8.5291
145,27,TMO22,2021.12.15-18:17:05,0.3,4,7.4208
146,27,TMO20,2021.12.15-18:17:05,0.3,4,7.7173
147,27,INSH,2021.12.15-18:17:05,0.3,4,1.394
148,27,INS6B,2021.12.15-18:17:05,0.3,4,8.4397
149,28,TMO55,2021.12.13-21:01:08,0.6,5.2,10.2142
150,28,TMO22,2021.12.13-21:01:08,0.6,5.2,9.3315
151,28,INS8,2021.12.13-21:01:08,0.6,5.2,13.8573
152,28,INS4B,2021.12.13-21:01:08,0.6,5.2,6.5194
153,29,TMO55,2021.12.11-04:13:21,0.6,4,9.2527
154,29,TMO22,2021.12.11-04:13:21,0.6,4,8.3802
155,29,TMO20,2021.12.11-04:13:21,0.6,4,7.8062
156,29,INS8,2021.12.11-04:13:21,0.6,4,12.8637
157,29,INS3,2021.12.11-04:13:21,0.6,4,7.4182
158,30,TMO55,2021.12.06-16:50:11,0.9,4,9.1264
159,30,TMO22,2021.12.06-16:50:11,0.9,4,7.8867
160,30,TMO20,2021.12.06-16:50:11,0.9,4,8.1535
161,31,TMO55,2021.11.25-02:12:54,0.2,2.9,9.5081
162,31,INS3,2021.11.25-02:12:54,0.2,2.9,7.3439
163,31,INS1,2021.11.25-02:12:54,0.2,2.9,7.4813
164,32,TMO55,2021.11.25-00:08:56,0.4,4,9.2302
165,32,TMO20,2021.11.25-00:08:56,0.4,4,8.2045
166,32,INS8,2021.11.25-00:08:56,0.4,4,12.7291
167,32,INS3,2021.11.25-00:08:56,0.4,4,7.9663
168,33,TMO55,2021.11.19-22:51:54,0.5,4,9.2961
169,33,TMO22,2021.11.19-22:51:54,0.5,4,8.3337
170,33,TMO20,2021.11.19-22:51:54,0.5,4,7.9312
171,33,INS8,2021.11.19-22:51:54,0.5,4,12.8824
172,33,INS6B,2021.11.19-22:51:54,0.5,4,7.7073
173,34,TMO55,2021.11.18-06:58:45,0.5,2.4,9.5429
174,34,TMO54,2021.11.18-06:58:45,0.5,2.4,2.0834
175,34,TMO22,2021.11.18-06:58:45,0.5,2.4,8.3153
176,34,TMO20,2021.11.18-06:58:45,0.5,2.4,8.3645
177,34,INS8,2021.11.18-06:58:45,0.5,2.4,13.058
178,34,INS4B,2021.11.18-06:58:45,0.5,2.4,5.9986
179,34,INS3,2021.11.18-06:58:45,0.5,2.4,7.7209
180,35,TMO55,2021.11.03-20:40:15,0.9,3.9,9.0402
181,35,TMO22,2021.11.03-20:40:15,0.9,3.9,8.1704
182,35,TMO20,2021.11.03-20:40:15,0.9,3.9,7.6938
183,35,INSH,2021.11.03-20:40:15,0.9,3.9,1.3999
184,35,INS8,2021.11.03-20:40:15,0.9,3.9,12.643
185,35,INS3,2021.11.03-20:40:15,0.9,3.9,7.5909
186,35,INS1,2021.11.03-20:40:15,0.9,3.9,7.3339
187,36,INS8,2021.09.30-23:15:16,0.5,4,12.4134
188,36,INS1,2021.09.30-23:15:16,0.5,4,8.0031
189,37,TMO66,2021.08.21-17:00:29,1.2,4,10.5409
190,37,TMO55,2021.08.21-17:00:29,1.2,4,9.1252
191,37,TMO22,2021.08.21-17:00:29,1.2,4,8.2997
192,37,TMO20,2021.08.21-17:00:29,1.2,4,7.6867
193,37,INS8,2021.08.21-17:00:29,1.2,4,12.7445
194,37,INS1,2021.08.21-17:00:29,1.2,4,7.2592
195,38,TMO66,2021.08.21-16:25:38,1.1,4,10.5409
196,38,TMO55,2021.08.21-16:25:38,1.1,4,9.1252
197,38,TMO20,2021.08.21-16:25:38,1.1,4,7.6867
198,38,INS8,2021.08.21-16:25:38,1.1,4,12.7445
199,38,INS1,2021.08.21-16:25:38,1.1,4,7.2592
200,39,TMO22,2021.08.18-06:18:09,1.2,4,4.0921
201,39,TMO20,2021.08.18-06:18:09,1.2,4,7.9226
202,39,INS8,2021.08.18-06:18:09,1.2,4,9.0999
203,39,INS1,2021.08.18-06:18:09,1.2,4,9.4896
204,40,TMO55,2021.08.05-23:33:26,0.4,4,9.3532
205,40,TMO54,2021.08.05-23:33:26,0.4,4,8.2729
206,40,INS8,2021.08.05-23:33:26,0.4,4,11.1465
207,41,TMO66,2021.07.30-19:46:16,0.7,5.2,10.3269
208,41,INS8,2021.07.30-19:46:16,0.7,5.2,12.3217
209,41,INS3,2021.07.30-19:46:16,0.7,5.2,7.8987
210,41,INS1,2021.07.30-19:46:16,0.7,5.2,7.4227
211,42,TMO55,2021.06.28-22:30:14,0.2,4,10.3428
212,49,TMO55,2021.04.29-01:38:05,0.3,6.3,7.7766
213,49,INSH,2021.04.29-01:38:05,0.3,6.3,2.131
214,49,INS6B,2021.04.29-01:38:05,0.3,6.3,9.1937
215,50,TMO66,2021.04.21-04:22:48,0.3,4,9.6519
216,50,TMO22,2021.04.21-04:22:48,0.3,4,7.6137
217,50,TMO20,2021.04.21-04:22:48,0.3,4,6.9449
218,50,INS1,2021.04.21-04:22:48,0.3,4,6.9628
219,51,TMO55,2021.03.27-14:18:43,1.3,5,8.0624
220,51,TMO20,2021.03.27-14:18:43,1.3,5,6.8971
221,51,INSH,2021.03.27-14:18:43,1.3,5,2.1607
222,51,INS8,2021.03.27-14:18:43,1.3,5,11.7101
223,51,INS4B,2021.03.27-14:18:43,1.3,5,4.428
224,52,INS6B,2021.03.16-21:54:23,0.4,3.9,8.5294
225,53,TMO22,2021.02.26-16:28:45,1.2,5.3,6.4841
226,53,TMO20,2021.02.26-16:28:45,1.2,5.3,8.0579
227,53,INS8,2021.02.26-16:28:45,1.2,5.3,11.399
228,53,INS3,2021.02.26-16:28:45,1.2,5.3,9.3565
229,53,INS1,2021.02.26-16:28:45,1.2,5.3,8.508
230,54,TMO66,2021.01.08-05:14:16,0.7,7.7,11.4767
231,54,TMO55,2021.01.08-05:14:16,0.7,7.7,10.1674
232,54,TMO54,2021.01.08-05:14:16,0.7,7.7,1.5529
233,54,TMO20,2021.01.08-05:14:16,0.7,7.7,8.4771
234,54,INS8,2021.01.08-05:14:16,0.7,7.7,13.7738
235,54,INS4B,2021.01.08-05:14:16,0.7,7.7,6.5083
236,54,INS3,2021.01.08-05:14:16,0.7,7.7,6.911
237,54,INS1,2021.01.08-05:14:16,0.7,7.7,7.6059
238,55,TMO66,2020.11.09-21:47:07,1.1,7,9.5887
239,55,TMO55,2020.11.09-21:47:07,1.1,7,8.3848
240,55,INS8,2020.11.09-21:47:07,1.1,7,12.1192
241,55,INS1,2020.11.09-21:47:07,1.1,7,6.4899
